Year,Name,,Voted By,Inducted As,Votes,% of Ballots
2018,Vladimir Guerrero\guerrvl01,1975-Living,BBWAA,Player,392.0,92.9%
2018,Trevor Hoffman\hoffmtr01,1967-Living,BBWAA,Player,337.0,79.9%
2018,Chipper Jones\jonesch06,1972-Living,BBWAA,Player,410.0,97.2%
2018,Jack Morris\morrija02,1955-Living,Veterans,Player,,
2018,Jim Thome\thomeji01,1970-Living,BBWAA,Player,379.0,89.8%
2018,Alan Trammell\trammal01,1958-Living,Veterans,Player,,
2017,Jeff Bagwell\bagweje01,1968-Living,BBWAA,Player,381.0,86.2%
2017,Tim Raines\raineti01,1959-Living,BBWAA,Player,380.0,86.0%
2017,Ivan Rodriguez\rodriiv01,1971-Living,BBWAA,Player,336.0,76.0%
2017,John Schuerholz\schurjo99,1940-Living,Veterans,Pioneer/Executive,,
2017,Bud Selig\seligbu99,1934-Living,Veterans,Pioneer/Executive,,
2016,Ken Griffey\griffke02,1969-Living,BBWAA,Player,437.0,99.3%
2016,Mike Piazza\piazzmi01,1968-Living,BBWAA,Player,365.0,83.0%
2015,Craig Biggio\biggicr01,1965-Living,BBWAA,Player,454.0,82.7%
2015,Randy Johnson\johnsra05,1963-Living,BBWAA,Player,534.0,97.3%
2015,Pedro Martinez\martipe02,1971-Living,BBWAA,Player,500.0,91.1%
2015,John Smoltz\smoltjo01,1967-Living,BBWAA,Player,455.0,82.9%
2014,Bobby Cox\coxbo01,1941-Living,Veterans,Manager,,
2014,Tom Glavine\glavito02,1966-Living,BBWAA,Player,525.0,91.9%
2014,Tony La Russa\larusto01,1944-Living,Veterans,Manager,,
2014,Greg Maddux\maddugr01,1966-Living,BBWAA,Player,555.0,97.2%
2014,Frank Thomas\thomafr04,1968-Living,BBWAA,Player,478.0,83.7%
2014,Joe Torre\torrejo01,1940-Living,Veterans,Manager,,
2013,Hank O'Day\o'dayha01,1859-1935,Veterans,Umpire,,
2013,Jacob Ruppert\ruppeja99,1867-1939,Veterans,Pioneer/Executive,,
2013,Deacon White\whitede01,1847-1939,Veterans,Player,,
2012,Barry Larkin\larkiba01,1964-Living,BBWAA,Player,495.0,86.4%
2012,Ron Santo\santoro01,1940-2010,Veterans,Player,,
2011,Roberto Alomar\alomaro01,1968-Living,BBWAA,Player,523.0,90.0%
2011,Bert Blyleven\blylebe01,1951-Living,BBWAA,Player,463.0,79.7%
2011,Pat Gillick\gillipa99,1937-Living,Veterans,Pioneer/Executive,,
2010,Andre Dawson\dawsoan01,1954-Living,BBWAA,Player,420.0,77.9%
2010,Doug Harvey\harvedo99,1930-2018,Veterans,Umpire,,
2010,Whitey Herzog\herzowh01,1931-Living,Veterans,Manager,,
2009,Joe Gordon\gordojo01,1915-1978,Veterans,Player,,
2009,Rickey Henderson\henderi01,1958-Living,BBWAA,Player,511.0,94.8%
2009,Jim Rice\riceji01,1953-Living,BBWAA,Player,412.0,76.4%
2008,Barney Dreyfuss\dreyfba99,1865-1932,Veterans,Pioneer/Executive,,
2008,Rich Gossage\gossari01,1951-Living,BBWAA,Player,466.0,85.8%
2008,Bowie Kuhn\kuhnbo99,1926-2007,Veterans,Pioneer/Executive,,
2008,Walter O'Malley\o'malwa99,1903-1979,Veterans,Pioneer/Executive,,
2008,Billy Southworth\southbi01,1893-1969,Veterans,Manager,,
2008,Dick Williams\willidi02,1929-2011,Veterans,Manager,,
2007,Tony Gwynn\gwynnto01,1960-2014,BBWAA,Player,532.0,97.6%
2007,Cal Ripken\ripkeca01,1960-Living,BBWAA,Player,537.0,98.5%
2006,Ray Brown\brownra99,1908-1965,Negro League,Player,,
2006,Willard Brown\brownwi02,1915-1996,Negro League,Player,,
2006,Andy Cooper\coopean99,1898-1941,Negro League,Player,,
2006,Frank Grant\grantfr99,1865-1937,Negro League,Player,,
2006,Pete Hill\hillpe99,1882-1951,Negro League,Player,,
2006,Biz Mackey\mackebi99,1897-1965,Negro League,Player,,
2006,Effa Manley\manleef99,1897-1981,Negro League,Pioneer/Executive,,
2006,Jose Mendez\mendejo99,1885-1928,Negro League,Player,,
2006,Alex Pompez\pompeal99,1890-1974,Negro League,Pioneer/Executive,,
2006,Cum Posey\poseycu99,1890-1946,Negro League,Pioneer/Executive,,
2006,Louis Santop\santolo99,1889-1942,Negro League,Player,,
2006,Bruce Sutter\suttebr01,1953-Living,BBWAA,Player,400.0,76.9%
2006,Mule Suttles\suttlmu99,1901-1966,Negro League,Player,,
2006,Ben Taylor\taylobe99,1888-1953,Negro League,Player,,
2006,Cristobal Torriente\torricr99,1893-1938,Negro League,Player,,
2006,Sol White\whiteso99,1868-1955,Negro League,Pioneer/Executive,,
2006,J.L. Wilkinson\wilkijl99,1878-1964,Negro League,Pioneer/Executive,,
2006,Jud Wilson\wilsoju99,1896-1963,Negro League,Player,,
2005,Wade Boggs\boggswa01,1958-Living,BBWAA,Player,474.0,91.9%
2005,Ryne Sandberg\sandbry01,1959-Living,BBWAA,Player,393.0,76.2%
2004,Dennis Eckersley\eckerde01,1954-Living,BBWAA,Player,421.0,83.2%
2004,Paul Molitor\molitpa01,1956-Living,BBWAA,Player,431.0,85.2%
2003,Gary Carter\cartega01,1954-2012,BBWAA,Player,387.0,78.0%
2003,Eddie Murray\murraed02,1956-Living,BBWAA,Player,423.0,85.3%
2002,Ozzie Smith\smithoz01,1954-Living,BBWAA,Player,433.0,91.7%
2001,Bill Mazeroski\mazerbi01,1936-Living,Veterans,Player,,
2001,Kirby Puckett\puckeki01,1960-2006,BBWAA,Player,423.0,82.1%
2001,Hilton Smith\smithhi99,1907-1983,Veterans,Player,,
2001,Dave Winfield\winfida01,1951-Living,BBWAA,Player,435.0,84.5%
2000,Sparky Anderson\andersp01,1934-2010,Veterans,Manager,,
2000,Carlton Fisk\fiskca01,1947-Living,BBWAA,Player,397.0,79.6%
2000,Bid McPhee\mcphebi01,1859-1943,Veterans,Player,,
2000,Tony Perez\perezto01,1942-Living,BBWAA,Player,385.0,77.2%
2000,Turkey Stearnes\steartu99,1901-1979,Veterans,Player,,
1999,George Brett\brettge01,1953-Living,BBWAA,Player,488.0,98.2%
1999,Orlando Cepeda\cepedor01,1937-Living,Veterans,Player,,
1999,Nestor Chylak\chylane99,1922-1982,Veterans,Umpire,,
1999,Nolan Ryan\ryanno01,1947-Living,BBWAA,Player,491.0,98.8%
1999,Frank Selee\seleefr99,1859-1909,Veterans,Manager,,
1999,Smokey Joe Williams\willijo99,1885-1951,Veterans,Player,,
1999,Robin Yount\yountro01,1955-Living,BBWAA,Player,385.0,77.5%
1998,George Davis\davisge01,1870-1940,Veterans,Player,,
1998,Larry Doby\dobyla01,1923-2003,Veterans,Player,,
1998,Lee MacPhail\macphle99,1917-2012,Veterans,Pioneer/Executive,,
1998,Bullet Rogan\roganbu99,1893-1967,Veterans,Player,,
1998,Don Sutton\suttodo01,1945-Living,BBWAA,Player,386.0,81.6%
