Moscow	Russia	10,381,222
London	United Kingdom	7,556,900
Saint Petersburg	Russia	5,028,000
Berlin	Germany	3,426,354
Madrid	Spain	3,255,944
Kyiv	Ukraine	2,797,553
Rome	Italy	2,318,895
Paris	France	2,138,551
Bucharest	Romania	1,877,155
Minsk	Belarus	1,742,124
Budapest	Hungary	1,741,041
Hamburg	Germany	1,739,117
Warsaw	Poland	1,702,139
Vienna	Austria	1,691,468
Barcelona	Spain	1,621,537
Stockholm	Sweden	1,515,017
Kharkiv	Ukraine	1,430,885
Novosibirsk	Russia	1,419,007
Yekaterinburg	Russia	1,349,772
Nizhniy Novgorod	Russia	1,284,164
Belgrade	Serbia	1,273,651
Munich	Germany	1,260,391
Milan	Italy	1,236,837
Prague	Czech Republic	1,165,581
Copenhagen	Denmark	1,153,615
Sofia	Bulgaria	1,152,556
Samara	Russia	1,134,730
Omsk	Russia	1,129,281
Kazan	Russia	1,104,738
Rostov-na-Donu	Russia	1,074,482
Chelyabinsk	Russia	1,062,919
Ufa	Russia	1,033,338
Dnipro	Ukraine	1,032,822
Donetsk	Ukraine	1,024,700
Dublin	Ireland	1,024,027
Brussels	Belgium	1,019,022
Volgograd	Russia	1,011,417
Odessa	Ukraine	1,001,558
Birmingham	United Kingdom	984,333
Perm	Russia	982,419
Koeln	Germany	963,395
Naples	Italy	959,470
Krasnoyarsk	Russia	927,200
Turin	Italy	870,456
Liverpool	United Kingdom	864,122
Saratov	Russia	863,725
Voronezh	Russia	848,752
Valencia	Spain	814,208
Zaporizhia	Ukraine	796,217
Marseille	France	794,811
Lodz	Poland	768,755
Krakow	Poland	755,050
Riga	Latvia	742,572
Amsterdam	Netherlands	741,636
Nottingham	United Kingdom	729,977
Lviv	Ukraine	717,803
Sevilla	Spain	703,206
Tol'yatti	Russia	702,879
Zagreb	Croatia	698,966
Sarajevo	Bosnia And Herzegovina	696,731
Sheffield	United Kingdom	685,368
Zaragoza	Spain	674,317
Athens	Greece	664,046
Kryvyi Rih	Ukraine	652,380
Frankfurt am Main	Germany	650,000
Krasnodar	Russia	649,851
Palermo	Italy	648,260
Ulyanovsk	Russia	640,680
Chisinau	Moldova	635,994
Wroclaw	Poland	634,893
Izhevsk	Russia	631,038
Bristol	United Kingdom	617,280
Yaroslavl	Russia	606,730
Barnaul	Russia	599,579
Rotterdam	Netherlands	598,199
Essen	Germany	593,085
Glasgow	United Kingdom	591,620
Stuttgart	Germany	589,793
Dortmund	Germany	588,462
Vladivostok	Russia	587,022
Irkutsk	Russia	586,695
Genoa	Italy	580,223
Oslo	Norway	580,000
Khabarovsk	Russia	579,000
Khabarovsk Vtoroy	Russia	578,303
Duesseldorf	Germany	573,057
Goeteborg	Sweden	572,799
Poznan	Poland	570,352
Malaga	Spain	568,305
Helsinki	Finland	558,457
Orenburg	Russia	550,204
Bremen	Germany	546,501
Vilnius	Lithuania	542,366
Novokuznetsk	Russia	539,616
Ryazan'	Russia	520,173
Tyumen	Russia	519,119
Lisbon	Portugal	517,802
Lipetsk	Russia	515,655
Hannover	Germany	515,140
Penza	Russia	512,602
Mykolayiv	Ukraine	510,840
Naberezhnyye Chelny	Russia	509,870
Leicester	United Kingdom	508,916
Leipzig	Germany	504,971
Kalininskiy	Russia	504,641
Duisburg	Germany	504,358
Astrakhan	Russia	502,533
Nuernberg	Germany	499,237
Makhachkala	Russia	497,959
Dresden	Germany	486,854
Tomsk	Russia	485,519
Mariupol	Ukraine	481,626
Gomel	Belarus	480,951
Kemerovo	Russia	477,090
Skopje	North Macedonia	474,889
The Hague	Netherlands	474,292
Lyon	France	472,317
Tula	Russia	468,825
Edinburgh	United Kingdom	464,990
Gdansk	Poland	461,865
Antwerpen	Belgium	459,805
Kirov	Russia	457,383
Leeds	United Kingdom	455,123
Luhansk	Ukraine	452,000
Cardiff	United Kingdom	447,287
Cheboksary	Russia	446,781
Murcia	Spain	436,870
Kaliningrad	Russia	434,954
Toulouse	France	433,055
Bryansk	Russia	427,236
Bratislava	Slovakia	423,737
Ivanovo	Russia	420,839
Sevastopol	Ukraine	416,263
Magnitogorsk	Russia	413,351
Wandsbek	Germany	411,422
Kursk	Russia	409,431
Szczecin	Poland	407,811
Palma	Spain	401,270
Tver	Russia	400,212
Khmelnytskyi	Ukraine	398,346
Manchester	United Kingdom	395,515
Tallinn	Estonia	394,024
Bochum	Germany	385,729
Sector 3	Romania	385,439
Las Palmas de Gran Canaria	Spain	381,847
Nizhny Tagil	Russia	381,116
Bochum-Hordel	Germany	380,000
Makiyivka	Ukraine	376,610
Tirana	Albania	374,801
Kaunas	Lithuania	374,643
Stoke-on-Trent	United Kingdom	372,775
Brno	Czech Republic	369,559
Mahilyow	Belarus	369,200
Sector 6	Romania	367,760
Bydgoszcz	Poland	366,452
Bologna	Italy	366,133
Stavropol'	Russia	363,064
Wuppertal	Germany	360,797
Ulan-Ude	Russia	360,278
Lublin	Poland	360,044
Coventry	United Kingdom	359,262
Arkhangel'sk	Russia	356,051
Bilbao	Spain	354,860
Thessaloniki	Greece	354,290
Vinnytsia	Ukraine	352,115
Florence	Italy	349,296
Sector 2	Romania	345,370
Belgorod	Russia	345,289
Kurgan	Russia	343,129
Vitebsk	Belarus	342,700
Zurich	Switzerland	341,730
Plovdiv	Bulgaria	340,494
Kaluga	Russia	338,978
Nice	France	338,620
Krasnogvargeisky	Russia	337,091
Simferopol	Ukraine	336,460
Sunderland	United Kingdom	335,415
Alicante	Spain	334,757
Bielefeld	Germany	331,906
Cordoba	Spain	328,428
Sochi	Russia	327,608
Birkenhead	United Kingdom	325,264
Orel	Russia	324,200
Volzhskiy	Russia	323,293
Smolensk	Russia	320,991
Kherson	Ukraine	320,477
Murmansk	Russia	319,263
Islington	United Kingdom	319,143
Reading	United Kingdom	318,014
Iasi	Romania	318,012
Valladolid	Spain	317,864
Poltava	Ukraine	317,847
Vladikavkaz	Russia	317,370
Hrodna	Belarus	317,365
Katowice	Poland	317,316
Cluj-Napoca	Romania	316,748
Cherepovets	Russia	315,738
Timisoara	Romania	315,053
Vologda	Russia	314,900
Kingston upon Hull	United Kingdom	314,018
Preston	United Kingdom	313,332
Bonn	Germany	313,125
Ostrava	Czech Republic	313,088
Varna	Bulgaria	312,770
Vladimir	Russia	310,024
Chita	Russia	308,500
Mannheim	Germany	307,960
Chernihiv	Ukraine	307,684
Newport	United Kingdom	306,844
Craiova	Romania	304,142
Constanta	Romania	303,399
Saransk	Russia	303,394
Malmoe	Sweden	301,706
Brest	Belarus	300,715
Surgut	Russia	300,367
Swansea	United Kingdom	300,352
Bradford	United Kingdom	299,310
Cherkasy	Ukraine	297,568
Vigo	Spain	297,332
Southend-on-Sea	United Kingdom	295,310
Sumy	Ukraine	294,456
Galati	Romania	294,087
Bialystok	Poland	291,855
Tambov	Russia	290,933
Catania	Italy	290,927
Utrecht	Netherlands	290,529
Sector 4	Romania	287,828
Marienthal	Germany	287,101
Karlsruhe	Germany	283,799
Zhytomyr	Ukraine	282,192
Hamburg-Nord	Germany	280,000
Yoshkar-Ola	Russia	279,100
Taganrog	Russia	279,056
Horlivka	Ukraine	278,550
Kostroma	Russia	277,656
Gijon	Spain	277,554
Bari	Italy	277,387
Nantes	France	277,269
Brasov	Romania	276,088
Komsomolsk-on-Amur	Russia	275,908
Strasbourg	France	274,845
Belfast	United Kingdom	274,770
Nal'chik	Russia	272,800
Wiesbaden	Germany	272,432
Ljubljana	Slovenia	272,220
Sector 5	Romania	271,575
Derby	United Kingdom	270,468
Muenster	Germany	270,184
Gelsenkirchen	Germany	270,028
Sterlitamak	Russia	267,231
Eixample	Spain	266,477
Aachen	Germany	265,208
Petrozavodsk	Russia	265,025
Moenchengladbach	Germany	261,742
Plymouth	United Kingdom	260,203
Augsburg	Germany	259,196
Luton	United Kingdom	258,018
L'Hospitalet de Llobregat	Spain	257,038
Espoo	Finland	256,760
Latina	Spain	256,644
Bratsk	Russia	256,600
Rivne	Ukraine	255,106
Gdynia	Poland	253,730
Carabanchel	Spain	253,678
Wolverhampton	United Kingdom	252,791
Eimsbuettel	Germany	251,907
Altona	Germany	250,192
Nis	Serbia	250,000
Porto	Portugal	249,633
Kropyvnytskyi	Ukraine	249,454
Kamianske	Ukraine	248,575
Montpellier	France	248,252
Czestochowa	Poland	248,125
City of Westminster	United Kingdom	247,614
Chemnitz	Germany	247,220
Orsk	Russia	246,836
Southampton	United Kingdom	246,201
A Coruna	Spain	246,056
Nizhnevartovsk	Russia	244,937
Braunschweig	Germany	244,715
Puente de Vallecas	Spain	244,151
Angarsk	Russia	243,158
Mar'ino	Russia	243,000
Novorossiysk	Russia	241,856
Khimki	Russia	239,967
Blackpool	United Kingdom	239,409
Krefeld	Germany	237,984
Arhus	Denmark	237,551
Kosice	Slovakia	236,563
Chernivtsi	Ukraine	236,250
Sant Marti	Spain	235,719
Ternopil	Ukraine	235,676
Gasteiz / Vitoria	Spain	235,661
Yakutsk	Russia	235,600
Granada	Spain	234,325
Nizhnekamsk	Russia	234,297
Halle (Saale)	Germany	234,107
Hamburg-Mitte	Germany	233,144
Dzerzhinsk	Russia	233,126
Kiel	Germany	232,758
Bordeaux	France	231,844
Gent	Belgium	231,493
Syktyvkar	Russia	230,139
Elche	Spain	230,112
Milton Keynes	United Kingdom	229,941
Magdeburg	Germany	229,826
Ploiesti	Romania	228,851
Lille	France	228,328
Ciudad Lineal	Spain	228,171
Bexley	United Kingdom	228,000
Kremenchuk	Ukraine	227,494
Sosnowiec	Poland	227,295
Staryy Oskol	Russia	226,977
Neue Neustadt	Germany	226,851
Radom	Poland	226,794
Groznyy	Russia	226,100
Sector 1	Romania	225,453
Oviedo	Spain	224,005
Santa Cruz de Tenerife	Spain	222,417
Graz	Austria	222,326
Shakhty	Russia	221,312
Blagoveshchensk	Russia	221,296
Banja Luka	Bosnia And Herzegovina	221,106
Babruysk	Belarus	220,517
Fuencarral-El Pardo	Spain	220,085
Messina	Italy	219,948
Badalona	Spain	219,547
Oberhausen	Germany	219,176
Verona	Italy	219,103
