Aabye, Edgar   (DEN)
Aaltonen, Arvo   (FIN)
Aaltonen, Paavo   (FIN)
Aalvik Grimsbø, Kari   (NOR)
Aamodt, Kjetil André   (NOR)
Aamodt, Ragnhild   (NOR)
Aanning, Alf Lied   (NOR)
Aardenburg, Willemien   (NED)
Aardewijn, Pepijn   (NED)
Aarones, Ann Kristin   (NOR)
Aas, Karl Jan   (NOR)
Aas, Roald   (NOR)
Aas, Thomas   (NOR)
Abakumova, Maria   (RUS)
Abalmasau, Aliaksei   (BLR)
Abalo, Luc   (FRA)
Abanda, Patrice   (CMR)
Abarca, José   (ESP)
Abas, Stephen   (USA)
Abascal, Alejandro   (ESP)
Abascal, José   (ESP)
Abassova, Tamilla   (RUS)
Abati, Joël   (FRA)
Abay, Péter   (HUN)
Abay Nemes, Oszkár   (HUN)
Abba, Silvano   (ITA)
Abbagnale, Agostino   (ITA)
Abbagnale, Carmine   (ITA)
Abbagnale, Giuseppe   (ITA)
Abbot, Ioannis   (GRE)
Abbott, Des   (AUS)
Abbott, Margaret   (USA)
Abbott, Monica   (USA)
Abdallah, Nia   (USA)
Abdesselam, Rhadi Ben   (MAR)
Abdo, Reema   (CAN)
Abdulbekov, Zagalav   (URS)
Abdullaev, Mahamadkadyz   (UZB)
Abdullayev, Namik   (AZE)
Abdur-Rahim, Shareef   (USA)
Abdusalomov, Yusup   (TJK)
Abduvaliyev, Andrey   (TJK)
Abe, Masashi   (JPN)
Abebe, Addis   (ETH)
Abegglen, Max   (SUI)
Abel, Clarence   (USA)
Abel, George   (CAN)
Abel, Irene   (GDR)
Abel, Sten   (NOR)
Abell, Louis   (USA)
Abera, Gezahgne   (ETH)
Abernathy, Brent   (USA)
Abernethy, Moira   (SAF)
Abeylegesse, Elvan   (TUR)
Abilov, Ismail   (BUL)
Ablowich, Edgar   (USA)
Aboimov, Viktor   (URS)
Abraham, Gary   (GBR)
Abrahamian, Ara   (SWE)
Abrahams, Harold   (GBR)
Abrahamsen, Isak   (NOR)
Abrahamsson, Carl   (SWE)
Abrahamsson, Erik   (SWE)
Abramov, Pavel   (RUS)
Abramova, Nelli   (URS)
Abramova, Yekaterina   (RUS)
Abrosimova, Svetlana   (RUS)
Absaidov, Saipulla   (URS)
Absalon, Julien   (FRA)
Abushakhmetov, Aleksandr   (URS)
Abushev, Magomedgasan   (URS)
Acatrinei, Andreea   (ROM)
Accola, Paul   (SUI)
Acevedo Santiago, Anibal   (PUR)
Aceves, Daniel   (MEX)
Acheampong, Joachin Yaw   (GHA)
Achik, Abdelhak   (MAR)
Achik, Mohamed   (MAR)
Achkina, Rita   (URS)
Acke, Fausto   (SWE)
Ackerley, Paul   (NZL)
Ackerly, Charles   (USA)
Ackermann, Alfred   (SUI)
Ackermann, Ronny   (GER)
Ackermann, Rosemarie   (GDR)
Acklin, Donat   (SUI)
Acklin, Guido   (SUI)
Acosta, Lautaro   (ARG)
Acosta, Osmay   (CUB)
Acosta y Lara, Martin   (URU)
Adach, Kazimierz   (POL)
Adam, Gordon   (USA)
Adam, Jirí   (CZE)
Adam, Mike   (CAN)
Adam, Otto   (GER)
Adam, Pierre   (FRA)
Adamczuk, Dariusz   (POL)
Adams, Benjamin   (USA)
Adams, Edgar   (USA)
Adams, Harry   (USA)
Adams, Neil   (GBR)
Adams, Platt   (USA)
Adamski, Herbert   (GER)
Adamski, Jerzy   (POL)
Addo, Simon   (GHA)
Addor, Eugen   (SUI)
Adefemi, Olubayo   (NGR)
Adeleye, Dele   (NGR)
Ademir,    (BRA)
Adeniken, Olapade   (NGR)
Adisson, Frank   (FRA)
Adjei, Sammi   (GHA)
Adkins, Charles   (USA)
Adkins, Derrick   (USA)
Adlard, Robert   (GBR)
Adler, Daniel   (BRA)
Adler, Egon   (GDR)
Adler, Margarete   (AUT)
Adlercreutz, Gregor   (SWE)
Adlerkreutz, Nils   (SWE)
Adlerstråhle, Märtha   (SWE)
Adlerz, Erik   (SWE)
Adlington, Rebecca   (GBR)
Adomaitis, Dainius   (LTU)
Adrian, Nathan   (USA)
Adrovicz, Attila   (HUN)
Aeffke, Klaus   (FRG)
Afinogenov, Maxim   (RUS)
Afolabi, Bisi   (NGR)
Afrasiloaia, Felicia   (ROM)
Agache, Lavinia   (ROM)
Agamennoni, Luca   (ITA)
Agassi, Andre   (USA)
Agersborg, Henrik   (NOR)
Ageyev, Viktor   (URS)
Agliotti, Marilyn   (NED)
Agosta , Meghan   (CAN)
Agosto, Benjamin   (USA)
Agostoni, Carlo   (ITA)
Agrimis, Ioannis   (GRE)
Agsteribbe, Estella   (NED)
Aguero, Taismari   (CUB)
Agüero, Sergio   (ARG)
Aguilar, José   (CUB)
Aguilera, Jorge   (CUB)
